what,kind,bundleId,bundleVersion,description,time
stopped,bundle,net.sf.eclipsecs.ui,5.0.1.200908032119,"net.sf.eclipsecs.ui",1273583023362
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.102.v200806010600,"org.eclipse.jst.common.annotations.ui",1273583023362
stopped,bundle,org.eclipse.jst.common.project.facet.ui,1.4.1.v200908111817,"org.eclipse.jst.common.project.facet.ui",1273583023362
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.102.v200805140135,"org.eclipse.jst.j2ee.ejb.annotations.emitter",1273583023362
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1273583023362
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.400.v200901261650,"org.eclipse.jst.ws.uddiregistry",1273583023362
stopped,bundle,org.eclipse.jst.ws.ui,1.0.402.v200903111822,"org.eclipse.jst.ws.ui",1273583023362
stopped,bundle,org.limy.eclipse.code,1.3.9,"org.limy.eclipse.code",1273583023362
stopped,bundle,org.limy.eclipse.prop,1.2.4,"org.limy.eclipse.prop",1273583023362
stopped,bundle,org.limy.eclipse.core,1.4.9,"org.limy.eclipse.core",1273583023362
stopped,bundle,zigen.plugin.db.ext.jdt,1.0.3,"zigen.plugin.db.ext.jdt",1273583023362
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1273583023362
stopped,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1273583023362
stopped,bundle,org.eclipse.jpt.db,1.2.101.v200908270220,"org.eclipse.jpt.db",1273583023362
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v200909240342,"org.eclipse.datatools.enablement.jdt.classpath",1273583023362
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1273583023362
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1273583023362
stopped,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1273583023362
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1273583023362
stopped,bundle,org.eclipse.team.svn.ui,0.7.8.I20090904-1300,"org.eclipse.team.svn.ui",1273583023362
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1273583023362
stopped,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1273583023362
stopped,bundle,zigen.plugin.db,1.1.0.v20090121,"zigen.plugin.db",1273583023362
stopped,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1273583023362
stopped,bundle,com.something.eclipse.script,1.0.7,"com.something.eclipse.script",1273583023377
